Fechamento,Abertura,Maxima,Minima
1418.76,1458.84,1467.76,1294.79
1458.93,1445.69,1527.69,1427.15
1445.44,1476.77,1561.66,1403.30
1476.15,1623.76,1669.24,1460.92
1623.71,1578.27,1711.16,1505.79
1578.11,1777.25,1781.44,1370.45
1777.28,1933.52,1935.04,1561.68
1933.45,1912.97,1974.99,1885.70
1913.88,1955.54,2040.79,1800.00
1955.59,1934.17,1968.93,1892.70
1934.16,1849.95,1950.04,1849.05
1847.95,1781.44,1854.03,1734.15
1781.69,1778.63,1827.07,1726.78
1778.82,1800.60,1835.51,1661.09
1801.78,1815.44,1850.00,1787.11
1815.49,1840.90,1871.36,1766.05
1841.02,1786.74,1862.17,1741.04
1786.35,1742.11,1817.68,1704.97
1742.09,1770.81,1835.40,1683.52
1770.63,1750.19,1818.94,1711.40
1750.18,1612.98,1775.12,1566.43
1612.99,1676.62,1692.29,1491.68
1676.63,1719.11,1742.90,1648.03
1719.20,1593.91,1760.09,1589.28
1594.00,1664.19,1693.64,1570.45
1664.34,1511.96,1667.93,1510.27
1511.36,1373.31,1546.88,1361.63
1373.40,1312.69,1376.44,1272.09
1312.73,1377.05,1380.04,1282.41
1376.96,1379.78,1405.78,1327.66
1379.30,1329.16,1436.27,1288.26
1328.47,1247.67,1359.51,1221.15
1247.62,1366.14,1372.31,1210.40
1366.27,1317.67,1377.94,1246.45
1317.90,1390.69,1474.68,1298.13
1390.28,1233.41,1398.00,1222.14
1233.40,1234.34,1271.65,1196.94
1234.58,1118.01,1272.85,1045.02
1117.33,1377.63,1387.39,1095.26
1377.53,1372.00,1406.56,1237.27
1372.00,1258.10,1437.42,1252.36
1258.06,1233.93,1260.30,1184.15
1232.64,1228.33,1269.01,1168.39
1228.27,1172.12,1290.92,1154.04
1171.68,1233.34,1256.13,1079.19
1226.17,1128.80,1246.52,1088.52
1128.46,1050.20,1134.66,990.96
1050.19,1086.96,1149.19,1008.28
1091.47,1255.84,1257.30,917.96
1256.04,1275.87,1347.98,1180.45
1275.58,1215.92,1301.75,1172.39
1215.73,1224.33,1271.08,1069.25
1224.35,1208.71,1286.81,1153.09
1207.77,1099.77,1210.78,1060.67
1099.52,1042.48,1131.56,976.91
1042.40,977.76,1158.27,894.24
974.97,774.54,1008.49,769.57
774.5,729,787.26,715.15
729.12,735.87,748.96,715.74
735.94,751.92,755.13,724.67
751.8,732.04,757.11,720.21
731.76,730.26,739.77,690.24
730.05,683.76,747.86,682.47
683.71,636.35,715.46,627.12
636.58,626.99,652.36,616.04
626.93,612.38,633.9,605.01
612.34,585.47,614.92,566.15
585.69,637.04,638.11,554.09
637.47,607.86,637.47,588.24
607.85,638.28,647.87,599.97
638.26,657.79,661.04,622.39
658.17,654.08,669.54,645.91
653.85,643.28,664.26,630.44
643.17,637.29,675.68,627.36
637.38,588.81,638.18,580.9
588.91,586.22,596.97,579.95
586.19,590.66,591.41,576.01
591.09,568.07,594.83,563.37
567.78,544.16,573.59,543.9
544.17,558.15,560.28,536.43
558.13,573.28,575.56,548.99
573.21,554.95,577.94,530.88
555.05,591.03,594.78,551.08
591.09,601.54,603.06,584.53
601.68,596.61,606.9,583.67
596.68,567.84,596.73,561.24
567.91,616.33,619.61,566.34
616.32,597.94,622.1,587.15
598.05,585.69,604.34,575.24
585.66,616.78,635.66,567.79
615.92,575.35,615.97,571.04
575.45,537.89,576.52,530.71
537.74,518.7,547.94,506.97
518.11,519.69,530.41,494.65
519.32,569.69,577.08,484.03
569.67,605.01,605.63,555.32
605.03,609.2,621.7,589.56
609.22,559.37,610.33,551.8
559.4,551.9,580,514.44
551.91,509.94,552.13,505.14
509.98,471.27,513.06,471.06
471.21,478.55,480.55,465.41
478.52,482.05,495.04,459.92
481.95,460.37,484.59,459.74
460.43,448.18,465.97,445.82
448.23,460.75,462.93,440.44
460.7,476.38,477.34,452.6
476.29,462.61,477.78,457.65
462.56,463.33,469.57,452.44
463.33,450.26,476.08,449.51
450.22,444.38,454.43,439.5
444.33,454.55,458.51,434.95
454.68,435.39,460.09,432.44
435.4,455.78,467.88,425.57
455.72,416.59,457.79,415.08
416.63,402.5,419.94,396.46
402.19,388.23,407.9,377.22
387.92,383.64,389.98,370.96
383.53,396.45,404.04,379.13
396.29,386.36,397.32,384.94
386.42,382.81,394.01,380.53
382.41,387.16,391.98,374.36
386.76,388.25,393.33,381.53
388.14,403.11,408.1,381.51
403.15,393.93,409.85,390.92
394.11,406.45,410.41,383.21
406.09,412.44,417.07,403.95
411.92,408.59,416.28,407.74
408.52,414.12,419.11,402.91
414.05,391.39,420.12,391.21
391.2,368.53,400.36,368.06
368.35,379.03,380.14,367.16
379.19,377.85,383.97,372.72
377.81,368.61,378.49,367.54
368.63,365.08,369.94,363.18
365.17,377.6,379.6,362.65
377.45,378.96,380.77,370.39
379.15,381.13,387.11,373.62
381.23,386.64,387.06,374.57
